Local,Ano,Morte5
ICÉM,2010,"20,16"
IEPÊ,1991,"35,75"
IEPÊ,2000,"28,01"
IEPÊ,2010,"19,17"
IGARAPAVA,1991,"31,53"
IGARAPAVA,2000,"20,49"
IGARAPAVA,2010,"15,66"
IGARATÁ,1991,"25,03"
IGARATÁ,2000,"23,90"
IGARATÁ,2010,"14,85"
IGARAÇU DO TIETÊ,1991,"30,21"
IGARAÇU DO TIETÊ,2000,"25,90"
IGARAÇU DO TIETÊ,2010,"16,53"
IGUAPE,1991,"32,39"
IGUAPE,2000,"23,58"
IGUAPE,2010,"15,60"
ILHA COMPRIDA,1991,"36,38"
ILHA COMPRIDA,2000,"22,02"
ILHA COMPRIDA,2010,"18,20"
ILHA SOLTEIRA,1991,"22,43"
ILHA SOLTEIRA,2000,"15,10"
ILHA SOLTEIRA,2010,"13,34"
ILHABELA,1991,"37,90"
ILHABELA,2000,"19,88"
ILHABELA,2010,"14,85"
INDAIATUBA,1991,"26,46"
INDAIATUBA,2000,"20,30"
INDAIATUBA,2010,"15,51"
INDIANA,1991,"31,83"
INDIANA,2000,"19,91"
INDIANA,2010,"16,08"
INDIAPORÃ,1991,"38,77"
INDIAPORÃ,2000,"23,77"
INDIAPORÃ,2010,"16,86"
INÚBIA PAULISTA,1991,"29,65"
INÚBIA PAULISTA,2000,"21,99"
INÚBIA PAULISTA,2010,"15,42"
IPAUSSU,1991,"34,66"
IPAUSSU,2000,"20,32"
IPAUSSU,2010,"17,67"
IPERÓ,1991,"35,28"
IPERÓ,2000,"31,58"
IPERÓ,2010,"19,16"
IPEÚNA,1991,"24,39"
IPEÚNA,2000,"16,88"
IPEÚNA,2010,"14,61"
IPIGUÁ,1991,"26,97"
IPIGUÁ,2000,"21,53"
IPIGUÁ,2010,"16,47"
IPORANGA,1991,"47,68"
IPORANGA,2000,"28,32"
IPORANGA,2010,"18,96"
IPUÃ,1991,"37,52"
IPUÃ,2000,"22,28"
IPUÃ,2010,"15,49"
IRACEMÁPOLIS,1991,"22,26"
IRACEMÁPOLIS,2000,"20,42"
IRACEMÁPOLIS,2010,"12,99"
IRAPURU,1991,"31,05"
IRAPURU,2000,"22,17"
IRAPURU,2010,"16,47"
IRAPUÃ,1991,"29,82"
IRAPUÃ,2000,"26,90"
IRAPUÃ,2010,"15,96"
ITABERÁ,1991,"36,43"
ITABERÁ,2000,"22,52"
ITABERÁ,2010,"20,47"
ITAJOBI,1991,"29,58"
ITAJOBI,2000,"20,53"
ITAJOBI,2010,"17,17"
ITAJU,1991,"34,27"
ITAJU,2000,"20,81"
ITAJU,2010,"18,16"
ITANHAÉM,1991,"40,44"
ITANHAÉM,2000,"26,08"
ITANHAÉM,2010,"18,20"
ITAPECERICA DA SERRA,1991,"36,16"
ITAPECERICA DA SERRA,2000,"22,38"
ITAPECERICA DA SERRA,2010,"15,09"
ITAPETININGA,1991,"37,69"
ITAPETININGA,2000,"24,81"
ITAPETININGA,2010,"13,86"
ITAPEVA,1991,"44,36"
ITAPEVA,2000,"27,03"
ITAPEVA,2010,"20,48"
ITAPEVI,1991,"32,82"
ITAPEVI,2000,"26,24"
ITAPEVI,2010,"14,50"
ITAPIRA,1991,"31,93"
ITAPIRA,2000,"19,78"
ITAPIRA,2010,"15,16"
ITAPIRAPUÃ PAULISTA,1991,"48,04"
ITAPIRAPUÃ PAULISTA,2000,"28,69"
ITAPIRAPUÃ PAULISTA,2010,"18,96"
ITAPORANGA,1991,"37,66"
ITAPORANGA,2000,"26,26"
ITAPORANGA,2010,"16,85"
ITAPURA,1991,"35,75"
ITAPURA,2000,"32,01"
ITAPURA,2010,"19,36"
ITAPUÍ,1991,"36,36"
ITAPUÍ,2000,"25,90"
ITAPUÍ,2010,"16,24"
ITAQUAQUECETUBA,1991,"41,62"
ITAQUAQUECETUBA,2000,"28,89"
ITAQUAQUECETUBA,2010,"17,37"
ITARARÉ,1991,"45,88"
ITARARÉ,2000,"32,20"
ITARARÉ,2010,"20,47"
ITARIRI,1991,"39,68"
ITARIRI,2000,"27,80"
ITARIRI,2010,"16,68"
ITATIBA,1991,"27,47"
ITATIBA,2000,"18,84"
ITATIBA,2010,"15,79"
ITATINGA,1991,"34,08"
ITATINGA,2000,"21,78"
ITATINGA,2010,"16,29"
ITAÍ,1991,"35,76"
ITAÍ,2000,"25,67"
ITAÍ,2010,"17,46"
ITAÓCA,1991,"47,68"
ITAÓCA,2000,"33,14"
ITAÓCA,2010,"22,49"
ITIRAPINA,1991,"31,50"
ITIRAPINA,2000,"22,85"
ITIRAPINA,2010,"19,33"
ITIRAPUÃ,1991,"29,96"
ITIRAPUÃ,2000,"28,36"
ITIRAPUÃ,2010,"17,86"
ITOBI,1991,"35,67"
ITOBI,2000,"21,36"
ITOBI,2010,"18,52"
ITU,1991,"31,35"
ITU,2000,"20,56"
ITU,2010,"14,95"
ITUPEVA,1991,"24,05"
ITUPEVA,2000,"20,22"
ITUPEVA,2010,"14,73"
ITUVERAVA,1991,"28,66"
ITUVERAVA,2000,"19,65"
ITUVERAVA,2010,"14,96"
ITÁPOLIS,1991,"31,01"
ITÁPOLIS,2000,"22,76"
ITÁPOLIS,2010,"16,81"
JABORANDI,1991,"32,22"
JABORANDI,2000,"22,06"
JABORANDI,2010,"15,82"
JABOTICABAL,1991,"31,91"
JABOTICABAL,2000,"19,82"
JABOTICABAL,2010,"15,19"
JACAREÍ,1991,"34,60"
JACAREÍ,2000,"21,07"
JACAREÍ,2010,"14,51"
JACI,1991,"33,11"
JACI,2000,"22,78"
JACI,2010,"18,78"
JACUPIRANGA,1991,"36,24"
JACUPIRANGA,2000,"29,80"
JACUPIRANGA,2010,"17,24"
JAGUARIÚNA,1991,"27,40"
JAGUARIÚNA,2000,"16,88"
JAGUARIÚNA,2010,"12,99"
JALES,1991,"31,91"
JALES,2000,"18,56"
JALES,2010,"13,69"
JAMBEIRO,1991,"20,44"
JAMBEIRO,2000,"15,10"
JAMBEIRO,2010,"14,34"
JANDIRA,1991,"26,60"
JANDIRA,2000,"21,15"
JANDIRA,2010,"17,13"
JARDINÓPOLIS,1991,"26,32"
JARDINÓPOLIS,2000,"24,26"
JARDINÓPOLIS,2010,"15,08"
JARINU,1991,"40,31"
JARINU,2000,"24,63"
JARINU,2010,"17,90"
JAÚ,1991,"22,26"
JAÚ,2000,"20,42"
JAÚ,2010,"11,13"
JERIQUARA,1991,"33,04"
JERIQUARA,2000,"27,58"
JERIQUARA,2010,"19,15"
JOANÓPOLIS,1991,"37,76"
JOANÓPOLIS,2000,"25,72"
JOANÓPOLIS,2010,"18,07"
JOSÉ BONIFÁCIO,1991,"23,90"
JOSÉ BONIFÁCIO,2000,"20,37"
JOSÉ BONIFÁCIO,2010,"12,53"
JOÃO RAMALHO,1991,"34,08"
JOÃO RAMALHO,2000,"21,73"
JOÃO RAMALHO,2010,"18,70"
JUMIRIM,1991,"24,51"
JUMIRIM,2000,"23,83"
JUMIRIM,2010,"14,10"
JUNDIAÍ,1991,"25,04"
JUNDIAÍ,2000,"18,17"
JUNDIAÍ,2010,"13,35"
JUNQUEIRÓPOLIS,1991,"35,65"
JUNQUEIRÓPOLIS,2000,"23,95"
JUNQUEIRÓPOLIS,2010,"14,33"
JUQUITIBA,1991,"34,57"
JUQUITIBA,2000,"26,42"
JUQUITIBA,2010,"21,90"
JUQUIÁ,1991,"37,85"
JUQUIÁ,2000,"24,40"
JUQUIÁ,2010,"18,20"
JÚLIO MESQUITA,1991,"37,66"
JÚLIO MESQUITA,2000,"28,58"
JÚLIO MESQUITA,2010,"19,35"
LAGOINHA,1991,"38,23"
LAGOINHA,2000,"31,42"
LAGOINHA,2010,"21,20"
LARANJAL PAULISTA,1991,"40,47"
LARANJAL PAULISTA,2000,"25,00"
LARANJAL PAULISTA,2010,"17,51"
LAVRINHAS,1991,"40,03"
LAVRINHAS,2000,"22,86"
LAVRINHAS,2010,"18,18"
LAVÍNIA,1991,"35,91"
LAVÍNIA,2000,"29,07"
LAVÍNIA,2010,"18,56"
LEME,1991,"29,58"
LEME,2000,"25,97"
LEME,2010,"15,25"
LENÇÓIS PAULISTA,1991,"27,00"
LENÇÓIS PAULISTA,2000,"18,32"
LENÇÓIS PAULISTA,2010,"15,43"
LIMEIRA,1991,"29,58"
LIMEIRA,2000,"21,18"
LIMEIRA,2010,"17,06"
LINDÓIA,1991,"26,97"
LINDÓIA,2000,"18,59"
LINDÓIA,2010,"13,92"
LINS,1991,"24,85"
LINS,2000,"18,87"
LINS,2010,"13,51"
LORENA,1991,"30,92"
LORENA,2000,"18,91"
LORENA,2010,"15,53"
LOURDES,1991,"36,38"
LOURDES,2000,"22,59"
LOURDES,2010,"18,97"
LOUVEIRA,1991,"22,82"
LOUVEIRA,2000,"18,56"
LOUVEIRA,2010,"14,27"
LUCIANÓPOLIS,1991,"30,45"
LUCIANÓPOLIS,2000,"25,38"
LUCIANÓPOLIS,2010,"19,75"
LUCÉLIA,1991,"26,67"
LUCÉLIA,2000,"23,06"
LUCÉLIA,2010,"16,21"
LUIZIÂNIA,1991,"33,04"
LUIZIÂNIA,2000,"27,47"
LUIZIÂNIA,2010,"19,11"
LUPÉRCIO,1991,"37,66"
LUPÉRCIO,2000,"25,96"
LUPÉRCIO,2010,"17,39"
LUTÉCIA,1991,"35,13"
LUTÉCIA,2000,"24,77"
LUTÉCIA,2010,"15,75"
LUÍS ANTÔNIO,1991,"37,85"
LUÍS ANTÔNIO,2000,"20,48"
LUÍS ANTÔNIO,2010,"18,24"
MACATUBA,1991,"31,47"
MACATUBA,2000,"22,10"
MACATUBA,2010,"14,48"
MACAUBAL,1991,"24,55"
MACAUBAL,2000,"21,92"
MACAUBAL,2010,"15,93"
MACEDÔNIA,1991,"31,93"
MACEDÔNIA,2000,"23,39"
MACEDÔNIA,2010,"15,17"
MAGDA,1991,"39,48"
MAGDA,2000,"22,68"
MAGDA,2010,"18,17"
MAIRINQUE,1991,"31,35"
MAIRINQUE,2000,"23,99"
MAIRINQUE,2010,"17,33"
MAIRIPORÃ,1991,"31,94"
MAIRIPORÃ,2000,"20,67"
MAIRIPORÃ,2010,"13,39"
MANDURI,1991,"41,03"
MANDURI,2000,"25,68"
MANDURI,2010,"18,79"
MARABÁ PAULISTA,1991,"44,30"
MARABÁ PAULISTA,2000,"30,37"
MARABÁ PAULISTA,2010,"19,77"
MARACAÍ,1991,"24,83"
MARACAÍ,2000,"22,79"
MARACAÍ,2010,"15,38"
MARAPOAMA,1991,"24,51"
MARAPOAMA,2000,"23,35"
MARAPOAMA,2010,"15,08"
MARINÓPOLIS,1991,"37,92"
MARINÓPOLIS,2000,"30,35"
MARINÓPOLIS,2010,"17,95"
MARIÁPOLIS,1991,"35,28"
MARIÁPOLIS,2000,"24,65"
MARIÁPOLIS,2010,"17,45"
MARTINÓPOLIS,1991,"35,67"
MARTINÓPOLIS,2000,"24,44"
MARTINÓPOLIS,2010,"17,17"
MARÍLIA,1991,"29,75"
MARÍLIA,2000,"20,58"
MARÍLIA,2010,"14,86"
MATÃO,1991,"26,67"
MATÃO,2000,"20,96"
MATÃO,2010,"15,60"
MAUÁ,1991,"31,65"
MAUÁ,2000,"23,86"
MAUÁ,2010,"15,10"
MENDONÇA,1991,"31,65"
MENDONÇA,2000,"22,76"
MENDONÇA,2010,"14,03"
MERIDIANO,1991,"37,69"
MERIDIANO,2000,"23,47"
MERIDIANO,2010,"18,79"
MESÓPOLIS,1991,"37,66"
MESÓPOLIS,2000,"24,34"
MESÓPOLIS,2010,"15,59"
MIGUELÓPOLIS,1991,"32,49"
MIGUELÓPOLIS,2000,"21,26"
MIGUELÓPOLIS,2010,"14,03"
MINEIROS DO TIETÊ,1991,"34,03"
MINEIROS DO TIETÊ,2000,"20,71"
MINEIROS DO TIETÊ,2010,"18,16"
MIRA ESTRELA,1991,"38,03"
MIRA ESTRELA,2000,"25,38"
MIRA ESTRELA,2010,"20,15"
MIRACATU,1991,"39,48"
MIRACATU,2000,"34,03"
MIRACATU,2010,"20,47"
MIRANDÓPOLIS,1991,"24,79"
MIRANDÓPOLIS,2000,"24,47"
MIRANDÓPOLIS,2010,"13,53"
MIRANTE DO PARANAPANEMA,1991,"34,77"
MIRANTE DO PARANAPANEMA,2000,"20,79"
MIRANTE DO PARANAPANEMA,2010,"16,24"
MIRASSOL,1991,"29,06"
MIRASSOL,2000,"17,78"
MIRASSOL,2010,"14,50"
MIRASSOLÂNDIA,1991,"28,98"
MIRASSOLÂNDIA,2000,"20,61"
MIRASSOLÂNDIA,2010,"17,48"
MOCOCA,1991,"32,20"
MOCOCA,2000,"20,20"
MOCOCA,2010,"17,72"
MOGI DAS CRUZES,1991,"35,88"
MOGI DAS CRUZES,2000,"21,21"
MOGI DAS CRUZES,2010,"14,19"
MOGI GUAÇU,1991,"27,80"
MOGI GUAÇU,2000,"19,09"
MOGI GUAÇU,2010,"15,03"
MOJI MIRIM,1991,"25,14"
MOJI MIRIM,2000,"19,64"
MOJI MIRIM,2010,"12,21"
MOMBUCA,1991,"30,27"
MOMBUCA,2000,"22,29"
MOMBUCA,2010,"18,55"
MONGAGUÁ,1991,"39,42"
MONGAGUÁ,2000,"26,93"
MONGAGUÁ,2010,"14,93"
MONTE ALEGRE DO SUL,1991,"26,97"
MONTE ALEGRE DO SUL,2000,"16,65"
MONTE ALEGRE DO SUL,2010,"13,45"
MONTE ALTO,1991,"22,07"
MONTE ALTO,2000,"18,29"
MONTE ALTO,2010,"14,38"
MONTE APRAZÍVEL,1991,"24,55"
MONTE APRAZÍVEL,2000,"20,05"
MONTE APRAZÍVEL,2010,"13,22"
MONTE AZUL PAULISTA,1991,"36,41"
MONTE AZUL PAULISTA,2000,"19,33"
MONTE AZUL PAULISTA,2010,"14,85"
MONTE CASTELO,1991,"35,45"
MONTE CASTELO,2000,"23,86"
MONTE CASTELO,2010,"19,24"
MONTE MOR,1991,"27,55"
MONTE MOR,2000,"22,66"
MONTE MOR,2010,"14,07"
MONTEIRO LOBATO,1991,"34,57"
MONTEIRO LOBATO,2000,"20,44"
MONTEIRO LOBATO,2010,"17,90"
MONÇÕES,1991,"37,66"
MONÇÕES,2000,"27,75"
MONÇÕES,2010,"19,24"
MORRO AGUDO,1991,"31,61"
MORRO AGUDO,2000,"26,56"
MORRO AGUDO,2010,"16,79"
MORUNGABA,1991,"29,65"
MORUNGABA,2000,"23,85"
MORUNGABA,2010,"20,63"
MOTUCA,1991,"25,97"
MOTUCA,2000,"24,04"
MOTUCA,2010,"14,49"
MURUTINGA DO SUL,1991,"26,97"
MURUTINGA DO SUL,2000,"21,83"
MURUTINGA DO SUL,2010,"15,60"
NANTES,1991,"39,48"
NANTES,2000,"28,83"
NANTES,2010,"22,04"
NARANDIBA,1991,"32,22"
NARANDIBA,2000,"22,67"
NARANDIBA,2010,"16,47"
NATIVIDADE DA SERRA,1991,"38,23"
NATIVIDADE DA SERRA,2000,"23,39"
NATIVIDADE DA SERRA,2010,"19,15"
NAZARÉ PAULISTA,1991,"32,50"
NAZARÉ PAULISTA,2000,"28,41"
NAZARÉ PAULISTA,2010,"18,74"
NEVES PAULISTA,1991,"31,15"
NEVES PAULISTA,2000,"20,87"
NEVES PAULISTA,2010,"18,17"
NHANDEARA,1991,"29,12"
NHANDEARA,2000,"19,96"
NHANDEARA,2010,"15,66"
NIPOÃ,1991,"31,53"
NIPOÃ,2000,"22,69"
NIPOÃ,2010,"19,24"
NOVA ALIANÇA,1991,"32,76"
NOVA ALIANÇA,2000,"20,52"
NOVA ALIANÇA,2010,"17,84"
NOVA CAMPINA,1991,"48,70"
NOVA CAMPINA,2000,"34,18"
NOVA CAMPINA,2010,"20,95"
NOVA CANAÃ PAULISTA,1991,"36,64"
NOVA CANAÃ PAULISTA,2000,"22,63"
NOVA CANAÃ PAULISTA,2010,"20,17"
NOVA CASTILHO,1991,"24,66"
NOVA CASTILHO,2000,"23,40"
NOVA CASTILHO,2010,"18,17"
NOVA EUROPA,1991,"26,16"
NOVA EUROPA,2000,"19,16"
NOVA EUROPA,2010,"13,54"
NOVA GRANADA,1991,"29,35"
NOVA GRANADA,2000,"21,30"
NOVA GRANADA,2010,"18,78"
NOVA GUATAPORANGA,1991,"24,48"
NOVA GUATAPORANGA,2000,"16,88"
NOVA GUATAPORANGA,2010,"14,85"
NOVA INDEPENDÊNCIA,1991,"31,83"
NOVA INDEPENDÊNCIA,2000,"19,64"
NOVA INDEPENDÊNCIA,2010,"17,72"
NOVA LUZITÂNIA,1991,"37,77"
NOVA LUZITÂNIA,2000,"27,01"
NOVA LUZITÂNIA,2010,"19,85"
NOVA ODESSA,1991,"26,94"
NOVA ODESSA,2000,"17,78"
NOVA ODESSA,2010,"13,11"
NOVAIS,1991,"34,08"
NOVAIS,2000,"20,71"
NOVAIS,2010,"18,29"
NOVO HORIZONTE,1991,"20,36"
NOVO HORIZONTE,2000,"17,62"
NOVO HORIZONTE,2010,"13,84"
NUPORANGA,1991,"31,24"
NUPORANGA,2000,"22,73"
NUPORANGA,2010,"13,80"
OCAUÇU,1991,"29,75"
OCAUÇU,2000,"24,34"
OCAUÇU,2010,"17,39"
OLÍMPIA,1991,"23,90"
OLÍMPIA,2000,"20,62"
OLÍMPIA,2010,"12,64"
ONDA VERDE,1991,"29,33"
ONDA VERDE,2000,"22,72"
ONDA VERDE,2010,"14,03"
ORIENTE,1991,"25,52"
ORIENTE,2000,"23,57"
ORIENTE,2010,"16,66"
ORINDIÚVA,1991,"38,35"
ORINDIÚVA,2000,"24,18"
ORINDIÚVA,2010,"18,09"
ORLÂNDIA,1991,"23,16"
ORLÂNDIA,2000,"18,11"
ORLÂNDIA,2010,"10,36"
OSASCO,1991,"26,60"
OSASCO,2000,"20,03"
OSASCO,2010,"15,50"
OSCAR BRESSANE,1991,"29,75"
OSCAR BRESSANE,2000,"25,29"
OSCAR BRESSANE,2010,"18,21"
OSVALDO CRUZ,1991,"27,37"
OSVALDO CRUZ,2000,"22,15"
OSVALDO CRUZ,2010,"16,66"
OURINHOS,1991,"24,11"
OURINHOS,2000,"19,01"
OURINHOS,2010,"13,34"
OURO VERDE,1991,"37,66"
OURO VERDE,2000,"27,95"
OURO VERDE,2010,"19,24"
OUROESTE,1991,"34,77"
OUROESTE,2000,"22,49"
OUROESTE,2010,"13,80"
PACAEMBU,1991,"29,31"
PACAEMBU,2000,"23,03"
PACAEMBU,2010,"16,01"
PALESTINA,1991,"26,32"
PALESTINA,2000,"25,13"
PALESTINA,2010,"15,54"
PALMARES PAULISTA,1991,"29,92"
PALMARES PAULISTA,2000,"27,95"
PALMARES PAULISTA,2010,"16,68"
PALMEIRA D'OESTE,1991,"36,62"
PALMEIRA D'OESTE,2000,"22,42"
PALMEIRA D'OESTE,2010,"17,49"
PALMITAL,1991,"38,31"
PALMITAL,2000,"24,35"
PALMITAL,2010,"19,20"
PANORAMA,1991,"36,38"
PANORAMA,2000,"22,42"
PANORAMA,2010,"19,24"
PARAGUAÇU PAULISTA,1991,"34,03"
PARAGUAÇU PAULISTA,2000,"26,82"
PARAGUAÇU PAULISTA,2010,"16,74"
PARAIBUNA,1991,"38,31"
PARAIBUNA,2000,"23,06"
PARAIBUNA,2010,"19,05"
PARANAPANEMA,1991,"41,83"
PARANAPANEMA,2000,"24,20"
PARANAPANEMA,2010,"16,51"
PARANAPUÃ,1991,"27,45"
PARANAPUÃ,2000,"23,55"
PARANAPUÃ,2010,"16,15"
PARAPUÃ,1991,"30,85"
PARAPUÃ,2000,"20,53"
PARAPUÃ,2010,"17,45"
PARAÍSO,1991,"28,30"
PARAÍSO,2000,"17,13"
PARAÍSO,2010,"15,43"
PARDINHO,1991,"33,49"
PARDINHO,2000,"21,03"
PARDINHO,2010,"18,44"
PARIQUERA-AÇU,1991,"34,77"
PARIQUERA-AÇU,2000,"21,68"
PARIQUERA-AÇU,2010,"14,19"
PARISI,1991,"40,48"
PARISI,2000,"25,38"
PARISI,2010,"16,18"
PATROCÍNIO PAULISTA,1991,"30,55"
PATROCÍNIO PAULISTA,2000,"20,48"
PATROCÍNIO PAULISTA,2010,"17,86"
PAULICÉIA,1991,"41,46"
PAULICÉIA,2000,"26,59"
PAULICÉIA,2010,"19,58"
PAULISTÂNIA,1991,"30,45"
PAULISTÂNIA,2000,"23,87"
PAULISTÂNIA,2010,"18,82"
PAULO DE FARIA,1991,"38,77"
PAULO DE FARIA,2000,"27,48"
PAULO DE FARIA,2010,"20,84"
PAULÍNIA,1991,"23,46"
PAULÍNIA,2000,"20,24"
PAULÍNIA,2010,"14,14"
PEDERNEIRAS,1991,"34,74"
PEDERNEIRAS,2000,"21,62"
PEDERNEIRAS,2010,"19,39"
PEDRA BELA,1991,"44,02"
PEDRA BELA,2000,"26,62"
PEDRA BELA,2010,"21,29"
PEDRANÓPOLIS,1991,"22,64"
PEDRANÓPOLIS,2000,"22,36"
PEDRANÓPOLIS,2010,"14,91"
PEDREGULHO,1991,"33,11"
PEDREGULHO,2000,"21,94"
PEDREGULHO,2010,"18,52"
PEDREIRA,1991,"24,80"
PEDREIRA,2000,"16,71"
PEDREIRA,2010,"14,01"
PEDRINHAS PAULISTA,1991,"26,16"
PEDRINHAS PAULISTA,2000,"17,13"
PEDRINHAS PAULISTA,2010,"15,43"
PEDRO DE TOLEDO,1991,"37,92"
PEDRO DE TOLEDO,2000,"32,56"
PEDRO DE TOLEDO,2010,"19,44"
PENÁPOLIS,1991,"33,53"
PENÁPOLIS,2000,"20,03"
PENÁPOLIS,2010,"14,42"
PEREIRA BARRETO,1991,"27,28"
PEREIRA BARRETO,2000,"24,47"
PEREIRA BARRETO,2010,"15,82"
PEREIRAS,1991,"31,83"
PEREIRAS,2000,"19,16"
PEREIRAS,2010,"13,17"
PERUÍBE,1991,"40,44"
PERUÍBE,2000,"26,08"
PERUÍBE,2010,"14,93"
PIACATU,1991,"31,26"
PIACATU,2000,"28,64"
PIACATU,2010,"16,06"
PIEDADE,1991,"40,18"
PIEDADE,2000,"24,35"
PIEDADE,2010,"15,54"
PILAR DO SUL,1991,"40,18"
PILAR DO SUL,2000,"28,82"
PILAR DO SUL,2010,"18,55"
PINDAMONHANGABA,1991,"33,64"
PINDAMONHANGABA,2000,"19,73"
PINDAMONHANGABA,2010,"14,96"
PINDORAMA,1991,"25,87"
PINDORAMA,2000,"20,53"
PINDORAMA,2010,"16,17"
PINHALZINHO,1991,"29,65"
PINHALZINHO,2000,"24,58"
PINHALZINHO,2010,"19,86"
PIQUEROBI,1991,"31,37"
PIQUEROBI,2000,"26,16"
PIQUEROBI,2010,"16,70"
PIQUETE,1991,"33,49"
PIQUETE,2000,"21,06"
PIQUETE,2010,"18,18"
PIRACAIA,1991,"28,78"
PIRACAIA,2000,"22,96"
PIRACAIA,2010,"15,28"
PIRACICABA,1991,"25,92"
PIRACICABA,2000,"19,58"
PIRACICABA,2010,"16,18"
PIRAJU,1991,"42,32"
PIRAJU,2000,"25,70"
PIRAJU,2010,"16,01"
PIRAJUÍ,1991,"26,40"
PIRAJUÍ,2000,"16,48"
PIRAJUÍ,2010,"13,92"
PIRANGI,1991,"27,00"
PIRANGI,2000,"18,39"
PIRANGI,2010,"15,43"
PIRAPORA DO BOM JESUS,1991,"32,82"
PIRAPORA DO BOM JESUS,2000,"26,26"
PIRAPORA DO BOM JESUS,2010,"19,66"
PIRAPOZINHO,1991,"31,63"
PIRAPOZINHO,2000,"23,52"
PIRAPOZINHO,2010,"14,03"
PIRASSUNUNGA,1991,"27,46"
PIRASSUNUNGA,2000,"18,79"
PIRASSUNUNGA,2010,"12,09"
PIRATININGA,1991,"27,81"
PIRATININGA,2000,"20,09"
PIRATININGA,2010,"14,46"
PITANGUEIRAS,1991,"31,91"
PITANGUEIRAS,2000,"25,31"
PITANGUEIRAS,2010,"17,47"
PLANALTO,1991,"29,82"
PLANALTO,2000,"25,70"
PLANALTO,2010,"15,02"
PLATINA,1991,"39,48"
PLATINA,2000,"27,93"
PLATINA,2010,"18,09"
POLONI,1991,"24,55"
POLONI,2000,"18,82"
POLONI,2010,"13,92"
POMPÉIA,1991,"27,34"
POMPÉIA,2000,"17,04"
POMPÉIA,2010,"14,01"
PONGAÍ,1991,"30,45"
PONGAÍ,2000,"21,75"
PONGAÍ,2010,"15,91"
PONTAL,1991,"29,96"
PONTAL,2000,"26,32"
PONTAL,2010,"16,57"
PONTALINDA,1991,"37,52"
PONTALINDA,2000,"22,98"
PONTALINDA,2010,"15,59"
PONTES GESTAL,1991,"40,48"
PONTES GESTAL,2000,"28,36"
PONTES GESTAL,2010,"20,23"
POPULINA,1991,"27,64"
POPULINA,2000,"26,15"
